В 1929 году Ньюкомб переехал на Мальту в качестве главного инженера, а в 1932 году ушел в отставку.	1	Machine	0	WikiMatrix
Вдруг решетка беззвучно поехала в сторону, и на балконе возникла таинственная фигура, прячущаяся от лунного света, и погрозила Ивану пальцем.	1	Expert	0	Paducheva2004
Этим летом не никуда ездили.	0	Expert	Syntax	Rusgram
В 2011 году был выпущен документальный фильм «Помимо Иконического: фотограф Деннис Сток», написанный самим Стоком.	1	Machine	0	WikiMatrix
Поговорительница Пресли поссорилась с поп-звездой из-за этой проблемы и столкнулась с непокорным Джексоном после встречи в Неверленде.	0	Machine	Morphology	WikiMatrix
Только Иван выразил какую бы то ни было готовность помочь.	1	Expert	0	Paducheva2013
Теперь ты видишь собственными глазами, как тут хорошо.	1	Expert	0	Paducheva1996
На поверку вся теория оказалась полной чепухой.	1	Expert	0	Paducheva1996
Он всегда сидит в библиотеке.	1	Expert	0	Seliverstova
Представляю, как смешно это выглядело снизу.	1	Expert	0	Paducheva2004
Мне предоставилась возможность все видеть, сам оставаясь незамеченным.	0	Expert	Syntax	Testelets
Наш новый сотрудник оказался коренастым мужчиной лет сорока.	1	Expert	0	USE5
Латин является важной фигурой во многих ранних итальянских мифах.	1	Machine	0	WikiMatrix
"Бортолотти начал карьеру в 2005 с выступлений во время концертов на конкурсе ""Зимней серии Формулы-Рено"" и Formula Gloria."	1	Machine	0	WikiMatrix
Регистрация была проведена сразу по прибытию участников симпозиума в аэропорт.	0	Expert	Syntax	USE8
О Хлестакове отзывались, что у него ученая голова.	0	Natural	Syntax	Tseitlin
Он с красным энамем бежал впереди всех.	0	Natural	Morphology	Tseitlin
Не думаю, что мосты уже сняли.	1	Expert	0	Paducheva2013
Предстояли очередные выборы, на которых он дал согласие баллотироваться в депутаты Совета Союза Верховного Совета СССР на новый срок.	1	Expert	0	Lutikova
После собрания кто-то сострил, что пока не разошлись, надо собрать новое собрание, чтобы подтвердить решение этого собрания.	1	Expert	0	Paducheva2004
Мне Сережа нравится потому, что он веселый, всем помогает, не боится.	0	Natural	Syntax	Tseitlin
В крупной фирме по продаже офисного оборудования имеется свободная вакансия менеджера.	0	Expert	Lexis	USE6
Наблюдается приток иностранного капитала.	1	Expert	0	Paducheva2013
Последние пять человек пришло.	0	Expert	Syntax	Testelets
Мы увидели славный город-герой.	1	Expert	0	Testelets
Вы не можете использовать эту фотографию.	1	Machine	0	TED
У него только одни достоинства, а недостатков нет.	1	Expert	0	Seliverstova
План продуман не полностью.	1	Expert	0	Paducheva2013
Заболевший лихорадкой Зика заявил о планах переехать на территорию Соединенных Штатов Америки.	1	Machine	0	WikiMatrix
В Минобороны созданы 3 экспериментальных полигона для отработки действий при возникновении чрезвычайной ситуации на объектах госзакупок.	0	Machine	Lexis|Syntax	WikiMatrix
Они хотят, чтобы я разговаривал с вами.	1	Machine	0	Tatoeba
Через четверть часа он уже сидел в ресторане.	1	Expert	0	Paducheva1996
Как я заметил еще из окна, каждый из них что-то нес.	1	Expert	0	Paducheva2004
Придет он или нет, зависит от ряда обстоятельств.	1	Expert	0	Testelets
Ценность сведений установилась на основе предпочтений.	0	Expert	Semantics	Rusgram
Они приняли во внимание слухи, что Аня предаст Катю.	1	Expert	0	Mitrenina
На повороте дороги показалась коляска.	1	Expert	0	Paducheva2004
Ученые заявили об истощении людей до степени худобы при отсутствии еды и воды.	0	Machine	Semantics	WikiMatrix
Он немедленно не ушел.	0	Expert	Semantics	Paducheva2013
Пиво он любит темное.	1	Expert	0	Testelets
Хорошо бы он не надел второпях мою шляпу.	1	Expert	0	Paducheva2013
Занимаясь определённым делом, оно начинает хорошо получаться.	0	Expert	Syntax	USE8
Я обещал Тому, что никому не скажу.	1	Machine	0	Tatoeba
В последнее время наметилась тенденция к более напряженной дискуссии, как раз в последние времена выглядит.	0	Machine	Hallucination	WikiMatrix
"Дэвид Гилмор написал песню ""За и за все"" музыку с первой партией в группе, вокальную партию исполняет артист."	0	Machine	Hallucination	WikiMatrix
Мировая общественность очень удивилась, когда в январе 2012 года обыкновенно улыбчивые и доброжелательные мальдивцы выходят на демонстрации против президента.	0	Expert	Syntax	USE8
Он спокойно принял возражения оппонента.	1	Expert	0	Seliverstova
Он лично поруководил боевыми действиями, в результате которых беспорядки были подавлены, а иудеи были рассеянны по всему миру.	0	Expert	Semantics	Paducheva1996
Сильный прибой и каменистый берег сделали пляж непригодным для купания.	1	Expert	0	USE5
Ты правда думаешь, что Том болен?	1	Machine	0	Tatoeba
Иван прилег, чтобы он отдохнул.	0	Expert	Syntax	Testelets
Мы говорим врагу: сдавайся, или мы тебя уничтожим.	1	Expert	0	Testelets
С 23 по 33 год он выпустил множество книг, брошюр и статей.	1	Expert	0	Paducheva1996
Есть вторая островная платформа, которая обслуживает две полосы, но она редко использовалась.	1	Machine	0	WikiMatrix
К счастью, выздоровление не должно быть сложным: как правило, пациенты быстро приходят в себя после таких операций.	0	Expert	Syntax	Testelets
Опера Д. Д. Шостаковича «Леди Макбет Мценского уезда» — это два с половиной часа непрерывной музыки, почти нестерпимой в своём драматизме.	1	Expert	0	USE5
У этого животного есть острые зубы.	0	Expert	Semantics	Seliverstova
Книга будет полезна как начинающим экономистам и политологом, так и любителем интересующимся экономикой и политологией.	0	Natural	Syntax	CoRST
Он открыл шкаф и взял оттуда два больших полотенца.	1	Expert	0	Seliverstova
Звуков с улицы не доносилось.	1	Expert	0	Paducheva2004
В одном только дедушка не последовал примеру большей части помещиков, живущих на покое: он завелся всем дворянским хозяйством, только не выбрал себе по сердцу хозяюшки.	1	Expert	0	Paducheva2013
Кто после Второй мировой войны занимал должность командующего сухопутными войсками Пакистана с 15 августа 1947 по 10 февраля 1948 года?	1	Machine	0	WikiMatrix
Кому ты хочешь, чтобы мы сообщили?	1	Expert	0	Testelets
Мы общаемся, и у нас вроде происходит какой-то благотворный взаимообмен энергиями, я это чувствую.	1	Expert	0	USE5
На реке находятся города Иваново, Кохма и Иваново.	0	Machine	Hallucination	WikiMatrix
А о том, чем рискуют студенты, которые пытаются одновременно преуспеть в этих двух областях?	0	Natural	Syntax	CoRST
Он живет в небольшом городке у Волги.	0	Expert	Semantics	Seliverstova
Мне не нравится этот магазин.	1	Machine	0	Tatoeba
Я знал, что это что-то вроде этого.	0	Machine	Hallucination	Tatoeba
Сильно этот поезд не опоздал.	1	Expert	0	Paducheva2013
Он, я думаю, согласится.	1	Expert	0	Paducheva1996
